ZONA_O,H_SAIDA,FE_VIA
Aclimação,0,704
Aclimação,1,126
Aclimação,4,120
Aclimação,5,384
Aclimação,6,2599
Aclimação,7,5820
Aclimação,8,4047
Aclimação,9,2639
Aclimação,10,671
Aclimação,11,1946
Aclimação,12,4311
Aclimação,13,2900
Aclimação,14,1492
Aclimação,15,697
Aclimação,16,3526
Aclimação,17,3875
Aclimação,18,6119
Aclimação,19,689
Aclimação,20,471
Aclimação,21,103
Aclimação,22,1192
Adventista,4,4648
Adventista,5,6400
Adventista,6,26568
Adventista,7,17669
Adventista,8,8467
Adventista,9,6982
Adventista,10,5837
Adventista,11,21274
Adventista,12,20323
Adventista,13,9594
Adventista,14,6116
Adventista,15,1325
Adventista,16,6290
Adventista,17,16357
Adventista,18,15439
Adventista,19,4665
Adventista,20,2155
Adventista,21,183
Adventista,22,3420
Adventista,23,2594
Aeroporto,0,566
Aeroporto,1,1395
Aeroporto,2,66
Aeroporto,4,1990
Aeroporto,5,1099
Aeroporto,6,1539
Aeroporto,7,2352
Aeroporto,8,1249
Aeroporto,9,198
Aeroporto,10,35
Aeroporto,11,1722
Aeroporto,12,1242
Aeroporto,13,2797
Aeroporto,14,976
Aeroporto,15,1041
Aeroporto,16,7955
Aeroporto,17,3398
Aeroporto,18,5077
Aeroporto,19,1802
Aeroporto,20,1194
Aeroporto,21,645
Aeroporto,22,2015
Aeroporto,23,564
Afonso Moreno,2,665
Afonso Moreno,4,702
Afonso Moreno,5,4876
Afonso Moreno,6,12633
Afonso Moreno,7,3740
Afonso Moreno,8,3713
Afonso Moreno,9,2624
Afonso Moreno,10,958
Afonso Moreno,11,134
Afonso Moreno,12,17887
Afonso Moreno,13,2887
Afonso Moreno,14,2012
Afonso Moreno,15,3630
Afonso Moreno,16,5749
Afonso Moreno,17,6369
Afonso Moreno,18,12514
Afonso Moreno,19,3743
Afonso Moreno,21,914
Afonso Moreno,22,1976
Afonso Moreno,23,76
Aldeia de Carapicuíba,3,385
Aldeia de Carapicuíba,4,283
Aldeia de Carapicuíba,5,2677
Aldeia de Carapicuíba,6,8487
Aldeia de Carapicuíba,7,4646
Aldeia de Carapicuíba,8,1662
Aldeia de Carapicuíba,9,425
Aldeia de Carapicuíba,10,870
Aldeia de Carapicuíba,11,2455
Aldeia de Carapicuíba,12,6044
Aldeia de Carapicuíba,13,1187
Aldeia de Carapicuíba,14,1053
Aldeia de Carapicuíba,15,1407
Aldeia de Carapicuíba,16,1136
Aldeia de Carapicuíba,17,2346
Aldeia de Carapicuíba,18,4416
Aldeia de Carapicuíba,19,454
Aldeia de Carapicuíba,20,768
Aldeia de Carapicuíba,22,1651
Alfredo Pujol,0,30
Alfredo Pujol,2,53
Alfredo Pujol,3,296
Alfredo Pujol,5,716
Alfredo Pujol,6,9640
Alfredo Pujol,7,9158
Alfredo Pujol,8,7732
Alfredo Pujol,9,3311
Alfredo Pujol,10,2949
Alfredo Pujol,11,5083
Alfredo Pujol,12,9491
Alfredo Pujol,13,7295
Alfredo Pujol,14,3158
Alfredo Pujol,15,5130
Alfredo Pujol,16,6141
Alfredo Pujol,17,6924
Alfredo Pujol,18,6591
Alfredo Pujol,19,2318
Alfredo Pujol,20,2132
Alfredo Pujol,21,2225
Alfredo Pujol,22,425
Alfredo Pujol,23,664
Alto da Lapa,0,40
Alto da Lapa,1,49
Alto da Lapa,2,43
Alto da Lapa,4,49
Alto da Lapa,5,97
Alto da Lapa,6,2800
Alto da Lapa,7,2312
Alto da Lapa,8,2357
Alto da Lapa,9,2010
Alto da Lapa,10,1673
Alto da Lapa,11,1389
Alto da Lapa,12,2399
Alto da Lapa,13,2230
Alto da Lapa,14,910
Alto da Lapa,15,798
Alto da Lapa,16,3677
Alto da Lapa,17,3580
Alto da Lapa,18,2843
Alto da Lapa,19,1427
Alto da Lapa,20,755
Alto da Lapa,21,210
Alto da Lapa,22,56
Alto da Lapa,23,43
Alto da Mooca,0,549
Alto da Mooca,1,131
Alto da Mooca,5,265
Alto da Mooca,6,3632
Alto da Mooca,7,2623
Alto da Mooca,8,3259
Alto da Mooca,9,928
Alto da Mooca,10,1786
Alto da Mooca,11,3582
Alto da Mooca,12,6381
Alto da Mooca,13,3009
Alto da Mooca,14,1252
Alto da Mooca,15,1457
Alto da Mooca,16,5303
Alto da Mooca,17,6334
Alto da Mooca,18,7761
Alto da Mooca,19,7631
Alto da Mooca,20,1592
Alto da Mooca,21,845
Alto da Mooca,22,1409
Alto da Mooca,23,588
Alto de Pinheiros,2,36
Alto de Pinheiros,5,67
Alto de Pinheiros,6,1509
Alto de Pinheiros,7,1867
Alto de Pinheiros,8,1187
Alto de Pinheiros,9,1152
Alto de Pinheiros,10,676
Alto de Pinheiros,11,525
Alto de Pinheiros,12,3555
Alto de Pinheiros,13,2935
Alto de Pinheiros,14,2263
Alto de Pinheiros,15,954
Alto de Pinheiros,16,3474
Alto de Pinheiros,17,5041
Alto de Pinheiros,18,4641
Alto de Pinheiros,19,1153
Alto de Pinheiros,20,900
Alto de Pinheiros,21,438
Alto de Pinheiros,22,1128
Alto de Pinheiros,23,424
Alto do Ipiranga,2,274
Alto do Ipiranga,4,135
Alto do Ipiranga,5,442
Alto do Ipiranga,6,3976
Alto do Ipiranga,7,3932
Alto do Ipiranga,8,3285
Alto do Ipiranga,9,1005
Alto do Ipiranga,10,1591
Alto do Ipiranga,11,963
Alto do Ipiranga,12,6360
Alto do Ipiranga,13,3030
Alto do Ipiranga,14,1647
Alto do Ipiranga,15,2580
Alto do Ipiranga,16,2511
Alto do Ipiranga,17,1798
Alto do Ipiranga,18,2774
Alto do Ipiranga,19,4414
Alto do Ipiranga,20,1228
Alto do Ipiranga,21,342
Alto do Ipiranga,22,390
Alto do Ipiranga,23,918
Amador Bueno,4,2109
Amador Bueno,5,5905
Amador Bueno,6,27386
Amador Bueno,7,13190
Amador Bueno,8,9343
Amador Bueno,9,1868
Amador Bueno,10,4768
Amador Bueno,11,3721
Amador Bueno,12,28674
Amador Bueno,13,6282
Amador Bueno,14,2835
Amador Bueno,15,2378
Amador Bueno,16,3730
Amador Bueno,17,11212
Amador Bueno,18,19163
Amador Bueno,19,2352
Amador Bueno,20,1243
Amador Bueno,21,2448
Amador Bueno,22,4368
Amador Bueno,23,1978
Ana Rosa,4,108
Ana Rosa,5,377
Ana Rosa,6,3069
Ana Rosa,7,4808
Ana Rosa,8,2206
Ana Rosa,9,1377
Ana Rosa,10,1504
Ana Rosa,11,1332
Ana Rosa,12,8156
Ana Rosa,13,3243
Ana Rosa,14,1590
Ana Rosa,15,3972
Ana Rosa,16,4529
Ana Rosa,17,7400
Ana Rosa,18,11040
Ana Rosa,19,3401
Ana Rosa,20,641
Ana Rosa,21,150
Ana Rosa,22,514
Ana Rosa,23,782
Anchieta,0,228
Anchieta,2,166
Anchieta,5,140
Anchieta,6,6124
Anchieta,7,5044
Anchieta,8,2742
Anchieta,9,3229
Anchieta,10,680
Anchieta,11,1200
Anchieta,12,7876
Anchieta,13,1275
Anchieta,14,1177
Anchieta,15,393
Anchieta,16,496
Anchieta,17,3273
Anchieta,18,4446
Anchieta,19,1101
Anchieta,20,657
Anchieta,21,165
Anchieta,22,5359
Anchieta,23,1120
André Luiz,0,342
André Luiz,2,1072
André Luiz,4,1397
André Luiz,5,700
André Luiz,6,20814
André Luiz,7,18743
André Luiz,8,7309
André Luiz,9,7549
André Luiz,10,2930
André Luiz,11,1797
André Luiz,12,13765
André Luiz,13,12215
André Luiz,14,6873
André Luiz,15,5223
André Luiz,16,5292
André Luiz,17,15566
André Luiz,18,23298
André Luiz,19,4080
André Luiz,20,6409
André Luiz,21,739
André Luiz,22,4086
André Luiz,23,550
Anhanguera,4,340
Anhanguera,5,453
Anhanguera,6,4560
Anhanguera,7,3684
Anhanguera,8,485
Anhanguera,9,461
Anhanguera,10,468
Anhanguera,11,1276
Anhanguera,12,2413
Anhanguera,13,1385
Anhanguera,14,790
Anhanguera,15,129
Anhanguera,16,1434
Anhanguera,17,1819
Anhanguera,18,1026
Anhanguera,19,228
Anhanguera,21,87
Anhanguera,22,549
Anhanguera,23,87
Antônio João,6,714
Antônio João,8,154
Antônio João,10,345
Antônio João,12,846
Antônio João,13,1204
Antônio João,14,1977
Antônio João,15,913
Antônio João,16,1032
Antônio João,17,1653
Antônio João,18,1931
Antônio João,19,727
Antônio João,20,1220
Antônio João,22,2127
Antônio João,23,857
Aphaville,4,992
Aphaville,5,2143
Aphaville,6,10032
Aphaville,7,10427
Aphaville,8,4618
Aphaville,9,1892
Aphaville,10,2560
Aphaville,11,5381
Aphaville,12,14437
Aphaville,13,9671
Aphaville,14,5527
Aphaville,15,2233
Aphaville,16,9412
Aphaville,17,13838
Aphaville,18,14674
Aphaville,19,4140
Aphaville,20,2337
Aphaville,21,1943
Aphaville,22,2019
Aphaville,23,1245
Araucárias,0,1882
Araucárias,4,592
Araucárias,5,842
Araucárias,6,5907
Araucárias,7,2589
Araucárias,8,1560
Araucárias,9,1010
Araucárias,10,780
Araucárias,11,2029
Araucárias,12,3348
Araucárias,13,2802
Araucárias,14,1288
Araucárias,15,481
Araucárias,16,1000
Araucárias,17,5944
Araucárias,18,2994
Araucárias,19,500
Araucárias,20,967
Araucárias,21,174
Araucárias,22,472
Araucárias,23,95
Arena Corinthians,0,619
Arena Corinthians,1,315
Arena Corinthians,6,1247
Arena Corinthians,7,103
Arena Corinthians,9,10
Arena Corinthians,10,843
Arena Corinthians,11,1529
Arena Corinthians,12,1301
Arena Corinthians,13,2004
Arena Corinthians,14,1863
Arena Corinthians,15,1206
Arena Corinthians,16,1628
Arena Corinthians,17,1572
Arena Corinthians,18,2185
Arena Corinthians,19,289
Arena Corinthians,20,1460
Arena Corinthians,21,2738
Arena Corinthians,22,3321
Arena Corinthians,23,4227
Aricanduva,0,217
Aricanduva,4,1004
Aricanduva,5,2338
Aricanduva,6,9728
Aricanduva,7,8316
Aricanduva,8,2244
Aricanduva,9,2836
Aricanduva,10,3374
Aricanduva,11,3968
Aricanduva,12,9053
Aricanduva,13,8201
Aricanduva,14,4029
Aricanduva,15,4029
Aricanduva,16,848
Aricanduva,17,11862
Aricanduva,18,6899
Aricanduva,19,1328
Aricanduva,21,1264
Aricanduva,22,4311
Aricanduva,23,377
Artur Alvim,0,639
Artur Alvim,4,1177
Artur Alvim,5,3518
Artur Alvim,6,21185
Artur Alvim,7,14415
Artur Alvim,8,10160
Artur Alvim,9,2774
Artur Alvim,10,3162
Artur Alvim,11,4775
Artur Alvim,12,19109
Artur Alvim,13,8408
Artur Alvim,14,2389
Artur Alvim,15,4262
Artur Alvim,16,7501
Artur Alvim,17,10393
Artur Alvim,18,11814
Artur Alvim,19,4241
Artur Alvim,20,2051
Artur Alvim,21,864
Artur Alvim,22,853
Artur Alvim,23,1866
Arujazinho,4,78
Arujazinho,5,204
Arujazinho,6,835
Arujazinho,7,777
Arujazinho,8,215
Arujazinho,11,421
Arujazinho,12,648
Arujazinho,13,1471
Arujazinho,14,333
Arujazinho,15,56
Arujazinho,16,211
Arujazinho,17,2578
Arujazinho,18,1473
Arujazinho,19,192
Arujazinho,21,82
Arujazinho,22,290
Arujazinho,23,167
Arujá,1,61
Arujá,5,6687
Arujá,6,15400
Arujá,7,8574
Arujá,8,5588
Arujá,9,1648
Arujá,10,1505
Arujá,11,7399
Arujá,12,28286
Arujá,13,3890
Arujá,14,4777
Arujá,15,1413
Arujá,16,3936
Arujá,17,16994
Arujá,18,16148
Arujá,19,3376
Arujá,20,366
Arujá,21,2381
Arujá,22,1233
Arujá,23,1869
Baeta Neves,0,270
Baeta Neves,2,50
Baeta Neves,4,1388
Baeta Neves,5,303
Baeta Neves,6,11480
Baeta Neves,7,12903
Baeta Neves,8,3195
Baeta Neves,9,2574
Baeta Neves,10,2914
Baeta Neves,11,3977
Baeta Neves,12,21560
Baeta Neves,13,6192
Baeta Neves,14,6186
Baeta Neves,15,5112
Baeta Neves,16,8480
Baeta Neves,17,18736
Baeta Neves,18,19849
Baeta Neves,19,1818
Baeta Neves,20,294
Baeta Neves,21,1360
Baeta Neves,22,4462
Baeta Neves,23,5666
Baltazar Fidélis,4,1356
Baltazar Fidélis,5,1608
Baltazar Fidélis,6,12412
Baltazar Fidélis,7,7274
Baltazar Fidélis,8,621
Baltazar Fidélis,10,1948
Baltazar Fidélis,11,3790
Baltazar Fidélis,12,10156
Baltazar Fidélis,13,1993
Baltazar Fidélis,14,1560
Baltazar Fidélis,15,1798
Baltazar Fidélis,16,1205
Baltazar Fidélis,17,8538
Baltazar Fidélis,18,7683
Baltazar Fidélis,19,275
Baltazar Fidélis,22,1614
Baltazar Fidélis,23,1131
Bandeirantes,0,152
Bandeirantes,1,815
Bandeirantes,2,120
Bandeirantes,3,224
Bandeirantes,4,58
Bandeirantes,5,207
Bandeirantes,6,2486
Bandeirantes,7,4664
Bandeirantes,8,1555
Bandeirantes,9,1096
Bandeirantes,10,1222
Bandeirantes,11,1243
Bandeirantes,12,3475
Bandeirantes,13,3990
Bandeirantes,14,3469
Bandeirantes,15,3942
Bandeirantes,16,3950
Bandeirantes,17,4750
Bandeirantes,18,11061
Bandeirantes,19,4476
Bandeirantes,20,1880
Bandeirantes,21,1424
Bandeirantes,22,2223
Bandeirantes,23,1455
Baquirivu,0,906
Baquirivu,2,300
Baquirivu,4,2114
Baquirivu,5,2273
Baquirivu,6,8757
Baquirivu,7,5717
Baquirivu,8,1621
Baquirivu,9,2071
Baquirivu,10,3329
Baquirivu,11,8052
Baquirivu,12,9741
Baquirivu,13,3812
Baquirivu,14,5852
Baquirivu,15,3048
Baquirivu,16,4370
Baquirivu,17,8810
Baquirivu,18,10440
Baquirivu,19,3622
Baquirivu,20,2283
Baquirivu,21,2550
Baquirivu,22,2189
Baquirivu,23,591
Barra Funda,5,200
Barra Funda,6,34
Barra Funda,7,66
Barra Funda,8,1715
Barra Funda,9,30
Barra Funda,10,103
Barra Funda,11,276
Barra Funda,12,5964
Barra Funda,13,2683
Barra Funda,14,2707
Barra Funda,15,2180
Barra Funda,16,1654
Barra Funda,17,4810
Barra Funda,18,3799
Barra Funda,19,1154
Barra Funda,20,905
Barra Funda,21,2099
Barra Funda,22,219
Barra Funda,23,917
Barreira Grande,0,1243
Barreira Grande,4,1713
Barreira Grande,5,1981
Barreira Grande,6,7687
Barreira Grande,7,4748
Barreira Grande,8,3485
Barreira Grande,9,1693
Barreira Grande,11,2751
Barreira Grande,12,5172
Barreira Grande,13,4627
Barreira Grande,14,825
Barreira Grande,15,2260
Barreira Grande,16,1552
Barreira Grande,17,5908
Barreira Grande,18,6380
Barreira Grande,19,261
Barreira Grande,20,315
Barreira Grande,22,1045
Barreira Grande,23,673
Barueri,0,27
Barueri,1,1760
Barueri,3,475
Barueri,4,2597
Barueri,5,4963
Barueri,6,29500
Barueri,7,11722
Barueri,8,4209
Barueri,9,3178
Barueri,10,1900
Barueri,11,14192
Barueri,12,21319
Barueri,13,9496
Barueri,14,6570
Barueri,15,4590
Barueri,16,6501
Barueri,17,18906
Barueri,18,18840
Barueri,19,7100
Barueri,20,1995
Barueri,21,550
Barueri,22,3497
Barueri,23,930
Barão de Mauá,1,807
Barão de Mauá,4,5102
Barão de Mauá,5,3965
Barão de Mauá,6,15574
Barão de Mauá,7,7859
Barão de Mauá,8,6245
Barão de Mauá,9,4793
Barão de Mauá,10,5380
Barão de Mauá,11,9975
Barão de Mauá,12,13832
Barão de Mauá,13,7024
Barão de Mauá,14,8359
Barão de Mauá,15,1835
Barão de Mauá,16,6660
Barão de Mauá,17,11170
Barão de Mauá,18,5535
Barão de Mauá,19,4150
Barão de Mauá,20,1520
Barão de Mauá,21,1317
Barão de Mauá,22,1964
Barão de Mauá,23,183
Bela Aliança,5,163
Bela Aliança,6,1682
Bela Aliança,7,1761
Bela Aliança,8,992
Bela Aliança,9,830
Bela Aliança,10,989
Bela Aliança,11,298
Bela Aliança,12,1224
Bela Aliança,13,740
Bela Aliança,14,685
Bela Aliança,15,822
Bela Aliança,16,966
Bela Aliança,17,1187
Bela Aliança,18,1218
Bela Aliança,19,721
Bela Aliança,20,789
Bela Aliança,21,421
Bela Aliança,22,1045
Bela Aliança,23,1436
Bela Vista,0,83
Bela Vista,1,178
Bela Vista,4,101
Bela Vista,5,428
Bela Vista,6,3045
Bela Vista,7,4084
Bela Vista,8,4500
Bela Vista,9,3163
Bela Vista,10,4283
Bela Vista,11,4034
Bela Vista,12,12648
Bela Vista,13,8921
Bela Vista,14,9706
Bela Vista,15,9650
Bela Vista,16,12577
Bela Vista,17,13599
Bela Vista,18,9536
Bela Vista,19,5735
Bela Vista,20,2619
Bela Vista,21,2241
Bela Vista,22,5558
Bela Vista,23,1107
Belenzinho,2,53
Belenzinho,5,543
Belenzinho,6,5088
Belenzinho,7,7668
Belenzinho,8,1845
Belenzinho,9,1716
Belenzinho,10,1323
Belenzinho,11,4108
Belenzinho,12,10188
Belenzinho,13,6549
Belenzinho,14,4665
Belenzinho,15,3291
Belenzinho,16,7159
Belenzinho,17,10081
Belenzinho,18,8743
Belenzinho,19,3848
Belenzinho,20,899
Belenzinho,21,1132
Belenzinho,22,1403
Belenzinho,23,999
Belmira Marin,4,1908
Belmira Marin,5,5987
Belmira Marin,6,25389
Belmira Marin,7,14760
Belmira Marin,8,10857
Belmira Marin,9,4309
Belmira Marin,10,8626
Belmira Marin,11,14648
Belmira Marin,12,15869
Belmira Marin,13,8839
Belmira Marin,14,4301
Belmira Marin,15,3044
Belmira Marin,16,6633
Belmira Marin,17,12712
Belmira Marin,18,15928
Belmira Marin,19,7208
Belmira Marin,20,15
Belmira Marin,21,2603
Belmira Marin,22,3982
Belmira Marin,23,1845
Belém,0,74
Belém,2,85
Belém,4,200
Belém,5,142
Belém,6,2347
Belém,7,2089
Belém,8,718
Belém,9,1053
Belém,10,1471
Belém,11,721
Belém,12,2700
Belém,13,1878
Belém,14,1843
Belém,15,656
Belém,16,1276
Belém,17,4302
Belém,18,1356
Belém,19,514
Belém,20,435
Belém,21,1084
Belém,22,750
Belém,23,1414
Berrini,0,159
Berrini,3,233
Berrini,5,124
Berrini,6,1545
Berrini,7,2676
Berrini,8,2899
Berrini,9,1999
Berrini,10,1477
Berrini,11,3931
Berrini,12,32951
Berrini,13,17020
Berrini,14,10216
Berrini,15,4158
Berrini,16,9620
Berrini,17,26796
Berrini,18,29434
Berrini,19,15073
Berrini,20,8725
Berrini,21,3678
Berrini,22,7225
Berrini,23,1356
Bexiga,3,90
Bexiga,4,233
Bexiga,5,996
Bexiga,6,2388
Bexiga,7,2123
Bexiga,8,2767
Bexiga,9,1747
Bexiga,10,1254
Bexiga,11,3327
Bexiga,12,4757
Bexiga,13,6217
Bexiga,14,525
Bexiga,15,1867
Bexiga,16,1963
Bexiga,17,7188
Bexiga,18,8559
Bexiga,19,1554
Bexiga,20,282
Bexiga,21,2794
Bexiga,22,1967
Bexiga,23,1907
Biritiba-Mirim,4,841
Biritiba-Mirim,5,408
Biritiba-Mirim,6,8174
Biritiba-Mirim,7,4153
Biritiba-Mirim,8,2590
Biritiba-Mirim,9,966
Biritiba-Mirim,10,1025
Biritiba-Mirim,11,3853
Biritiba-Mirim,12,7851
Biritiba-Mirim,13,4013
Biritiba-Mirim,14,2975
Biritiba-Mirim,15,2097
Biritiba-Mirim,16,3245
Biritiba-Mirim,17,5258
Biritiba-Mirim,18,3875
Biritiba-Mirim,19,1195
Biritiba-Mirim,20,844
Biritiba-Mirim,21,749
Biritiba-Mirim,22,900
Biritiba-Mirim,23,213
Boaçava,4,115
Boaçava,5,225
Boaçava,6,1988
Boaçava,7,3621
Boaçava,8,2479
Boaçava,9,1830
Boaçava,10,1357
Boaçava,11,1639
Boaçava,12,4495
Boaçava,13,3039
Boaçava,14,2682
Boaçava,15,3193
Boaçava,16,1830
Boaçava,17,6140
Boaçava,18,2979
Boaçava,19,1277
Boaçava,20,2169
Boaçava,21,521
Boaçava,22,2193
Boaçava,23,6
Bom Jardim,1,343
Bom Jardim,4,108
Bom Jardim,5,94
Bom Jardim,6,610
Bom Jardim,7,571
Bom Jardim,8,952
Bom Jardim,9,193
Bom Jardim,10,733
Bom Jardim,11,98
Bom Jardim,12,882
Bom Jardim,13,680
Bom Jardim,14,746
Bom Jardim,15,23
Bom Jardim,16,409
Bom Jardim,17,3647
Bom Jardim,18,485
Bom Jardim,19,750
Bom Jardim,20,22
Bom Jardim,21,18
Bom Jardim,23,41
Bom Retiro,1,83
Bom Retiro,4,265
Bom Retiro,5,287
Bom Retiro,6,2688
Bom Retiro,7,5241
Bom Retiro,8,1240
Bom Retiro,9,888
Bom Retiro,10,90
Bom Retiro,11,2455
Bom Retiro,12,3589
Bom Retiro,13,1907
Bom Retiro,14,1013
Bom Retiro,15,2896
Bom Retiro,16,2501
Bom Retiro,17,8553
Bom Retiro,18,2453
Bom Retiro,19,962
Bom Retiro,20,1335
Bom Retiro,21,1478
Bom Retiro,22,37
Bom Retiro,23,262
Bonsucesso,1,384
Bonsucesso,4,2601
Bonsucesso,5,9406
Bonsucesso,6,20896
Bonsucesso,7,16359
Bonsucesso,8,4275
Bonsucesso,9,3634
Bonsucesso,10,12130
Bonsucesso,11,9313
Bonsucesso,12,14190
Bonsucesso,13,3306
Bonsucesso,14,8837
Bonsucesso,15,7698
Bonsucesso,16,5987
Bonsucesso,17,10321
Bonsucesso,18,9769
Bonsucesso,19,4260
Bonsucesso,20,3061
Bonsucesso,21,954
Bonsucesso,22,2442
Bonsucesso,23,1453
Bororé,4,50
Bororé,5,111
Bororé,6,762
Bororé,7,345
Bororé,8,69
Bororé,9,503
Bororé,10,171
Bororé,11,46
Bororé,12,1231
Bororé,13,15
Bororé,15,48
Bororé,16,2564
Bororé,17,227
Bororé,18,1959
Bororé,22,895
Bororé,23,50
Bosque da Saúde,2,381
Bosque da Saúde,4,306
Bosque da Saúde,5,806
Bosque da Saúde,6,4314
Bosque da Saúde,7,5902
Bosque da Saúde,8,3587
Bosque da Saúde,9,2706
Bosque da Saúde,10,2294
Bosque da Saúde,11,2332
Bosque da Saúde,12,5070
Bosque da Saúde,13,2693
Bosque da Saúde,14,2152
Bosque da Saúde,15,5414
Bosque da Saúde,16,2005
Bosque da Saúde,17,6682
Bosque da Saúde,18,5575
Bosque da Saúde,19,1644
Bosque da Saúde,20,1391
Bosque da Saúde,21,336
Bosque da Saúde,22,27
Bosque da Saúde,23,22
Brasilândia,3,507
Brasilândia,4,439
Brasilândia,5,4694
Brasilândia,6,14748
Brasilândia,7,10457
Brasilândia,8,4880
Brasilândia,9,5283
Brasilândia,10,3255
Brasilândia,11,8490
Brasilândia,12,20284
Brasilândia,13,11012
Brasilândia,14,2345
Brasilândia,15,8154
Brasilândia,16,5599
Brasilândia,17,9420
Brasilândia,18,11778
Brasilândia,19,1029
Brasilândia,20,2009
Brasilândia,21,1338
Brasilândia,22,2650
Brasilândia,23,397
Bresser,3,99
Bresser,4,136
Bresser,5,1267
Bresser,6,828
Bresser,7,2151
Bresser,8,1211
Bresser,9,808
Bresser,10,1536
Bresser,11,895
Bresser,12,3088
Bresser,13,798
Bresser,14,2689
Bresser,15,1784
Bresser,16,2627
Bresser,17,4254
Bresser,18,6790
Bresser,19,717
Bresser,20,2221
Bresser,21,62
Bresser,22,1122
Bresser,23,1085
Brooklin,5,385
Brooklin,6,8105
Brooklin,7,5054
Brooklin,8,4819
Brooklin,9,1549
Brooklin,10,3644
Brooklin,11,2934
Brooklin,12,4687
Brooklin,13,3952
Brooklin,14,4546
Brooklin,15,1866
Brooklin,16,6590
Brooklin,17,7596
Brooklin,18,5795
Brooklin,19,1939
Brooklin,20,1530
Brooklin,21,482
Brooklin,22,698
Brooklin,23,524
Brás,0,32
Brás,4,271
Brás,5,284
Brás,6,2869
Brás,7,2423
Brás,8,1411
Brás,9,1610
Brás,10,1149
Brás,11,1923
Brás,12,5046
Brás,13,2782
Brás,14,3149
Brás,15,1491
Brás,16,4521
Brás,17,6316
Brás,18,7508
Brás,19,2489
Brás,20,1630
Brás,21,855
Brás,22,758
Brás,23,129
Brás Cubas,4,3588
Brás Cubas,5,3655
Brás Cubas,6,26929
Brás Cubas,7,28239
Brás Cubas,8,11374
Brás Cubas,9,7876
Brás Cubas,10,3723
Brás Cubas,11,15365
Brás Cubas,12,16385
Brás Cubas,13,7894
Brás Cubas,14,5219
Brás Cubas,15,7481
Brás Cubas,16,14395
Brás Cubas,17,19716
Brás Cubas,18,12820
Brás Cubas,19,4231
Brás Cubas,20,592
Brás Cubas,21,3096
Brás Cubas,22,205
Brás Cubas,23,1372
Burgo Paulista,0,370
Burgo Paulista,4,961
Burgo Paulista,5,2434
Burgo Paulista,6,11011
Burgo Paulista,7,5210
Burgo Paulista,8,1015
Burgo Paulista,9,1088
Burgo Paulista,10,6185
Burgo Paulista,11,2749
Burgo Paulista,12,7934
Burgo Paulista,13,4760
Burgo Paulista,14,1786
Burgo Paulista,15,1708
Burgo Paulista,16,4830
Burgo Paulista,17,5404
Burgo Paulista,18,4793
Burgo Paulista,19,307
Burgo Paulista,20,2684
Burgo Paulista,21,739
Burgo Paulista,22,1786
Burgo Paulista,23,361
Bussocaba City,0,452
Bussocaba City,4,148
Bussocaba City,5,378
Bussocaba City,6,8238
Bussocaba City,7,5020
Bussocaba City,8,3774
Bussocaba City,9,2367
Bussocaba City,10,1435
Bussocaba City,11,3985
Bussocaba City,12,9621
Bussocaba City,13,3983
Bussocaba City,14,3198
Bussocaba City,15,1170
Bussocaba City,16,2056
Bussocaba City,17,9831
Bussocaba City,18,5471
Bussocaba City,19,2733
Bussocaba City,20,2756
Bussocaba City,21,5332
Bussocaba City,22,1054
Bussocaba City,23,304
Butantã,2,407
Butantã,4,65
Butantã,5,244
Butantã,6,1017
Butantã,7,2153
Butantã,8,1054
Butantã,9,1655
Butantã,10,919
Butantã,11,1542
Butantã,12,2819
Butantã,13,2605
Butantã,14,1166
Butantã,15,1682
Butantã,16,2525
Butantã,17,6519
Butantã,18,6280
Butantã,19,1790
Butantã,20,1277
Butantã,21,861
Butantã,22,1275
Butantã,23,1651
CEASA,0,116
CEASA,1,147
