ano,sem_epidem,uf,sexo,casos,quantidade
2010,14,RO,Feminino,Testes positivos,2
2010,14,RO,Feminino,Testes negativos,3
2010,14,RO,Feminino,Casos aguardando resultado,0
2010,14,RO,Feminino,Casos sem informação laboratorial,10
2010,14,RO,Feminino,Casos sem teste laboratorial,2
2016,13,RO,Feminino,Testes positivos,3
2016,13,RO,Feminino,Testes negativos,5
2016,13,RO,Feminino,Casos aguardando resultado,0
2016,13,RO,Feminino,Casos sem informação laboratorial,1
2016,13,RO,Feminino,Casos sem teste laboratorial,0
2016,14,RO,Feminino,Testes positivos,5
2016,14,RO,Feminino,Testes negativos,4
2016,14,RO,Feminino,Casos aguardando resultado,0
2016,14,RO,Feminino,Casos sem informação laboratorial,1
2016,14,RO,Feminino,Casos sem teste laboratorial,1
2020,14,RO,Feminino,Testes positivos,0
2020,14,RO,Feminino,Testes negativos,5
2020,14,RO,Feminino,Casos aguardando resultado,5
2020,14,RO,Feminino,Casos sem informação laboratorial,0
2020,14,RO,Feminino,Casos sem teste laboratorial,0
2019,13,AC,Feminino,Testes positivos,5
2019,13,AC,Feminino,Testes negativos,3
2019,13,AC,Feminino,Casos aguardando resultado,0
2019,13,AC,Feminino,Casos sem informação laboratorial,0
2019,13,AC,Feminino,Casos sem teste laboratorial,3
2019,15,AC,Feminino,Testes positivos,3
2019,15,AC,Feminino,Testes negativos,4
2019,15,AC,Feminino,Casos aguardando resultado,0
2019,15,AC,Feminino,Casos sem informação laboratorial,0
2019,15,AC,Feminino,Casos sem teste laboratorial,1
2017,16,AM,Feminino,Testes positivos,10
2017,16,AM,Feminino,Testes negativos,6
2017,16,AM,Feminino,Casos aguardando resultado,0
2017,16,AM,Feminino,Casos sem informação laboratorial,0
2017,16,AM,Feminino,Casos sem teste laboratorial,0
2019,6,AM,Feminino,Testes positivos,7
2019,6,AM,Feminino,Testes negativos,3
2019,6,AM,Feminino,Casos aguardando resultado,0
2019,6,AM,Feminino,Casos sem informação laboratorial,0
2019,6,AM,Feminino,Casos sem teste laboratorial,4
2019,7,AM,Feminino,Testes positivos,27
2019,7,AM,Feminino,Testes negativos,8
2019,7,AM,Feminino,Casos aguardando resultado,0
2019,7,AM,Feminino,Casos sem informação laboratorial,0
2019,7,AM,Feminino,Casos sem teste laboratorial,13
2019,8,AM,Feminino,Testes positivos,36
2019,8,AM,Feminino,Testes negativos,3
2019,8,AM,Feminino,Casos aguardando resultado,1
2019,8,AM,Feminino,Casos sem informação laboratorial,0
2019,8,AM,Feminino,Casos sem teste laboratorial,43
2019,9,AM,Feminino,Testes positivos,35
2019,9,AM,Feminino,Testes negativos,9
2019,9,AM,Feminino,Casos aguardando resultado,0
2019,9,AM,Feminino,Casos sem informação laboratorial,0
2019,9,AM,Feminino,Casos sem teste laboratorial,45
2019,10,AM,Feminino,Testes positivos,35
2019,10,AM,Feminino,Testes negativos,7
2019,10,AM,Feminino,Casos aguardando resultado,1
2019,10,AM,Feminino,Casos sem informação laboratorial,0
2019,10,AM,Feminino,Casos sem teste laboratorial,47
2019,11,AM,Feminino,Testes positivos,28
2019,11,AM,Feminino,Testes negativos,7
2019,11,AM,Feminino,Casos aguardando resultado,0
2019,11,AM,Feminino,Casos sem informação laboratorial,0
2019,11,AM,Feminino,Casos sem teste laboratorial,47
2019,12,AM,Feminino,Testes positivos,28
2019,12,AM,Feminino,Testes negativos,7
2019,12,AM,Feminino,Casos aguardando resultado,1
2019,12,AM,Feminino,Casos sem informação laboratorial,2
2019,12,AM,Feminino,Casos sem teste laboratorial,37
2019,13,AM,Feminino,Testes positivos,20
2019,13,AM,Feminino,Testes negativos,4
2019,13,AM,Feminino,Casos aguardando resultado,0
2019,13,AM,Feminino,Casos sem informação laboratorial,0
2019,13,AM,Feminino,Casos sem teste laboratorial,27
2019,14,AM,Feminino,Testes positivos,16
2019,14,AM,Feminino,Testes negativos,6
2019,14,AM,Feminino,Casos aguardando resultado,0
2019,14,AM,Feminino,Casos sem informação laboratorial,0
2019,14,AM,Feminino,Casos sem teste laboratorial,20
2019,15,AM,Feminino,Testes positivos,10
2019,15,AM,Feminino,Testes negativos,1
2019,15,AM,Feminino,Casos aguardando resultado,0
2019,15,AM,Feminino,Casos sem informação laboratorial,0
2019,15,AM,Feminino,Casos sem teste laboratorial,10
2019,16,AM,Feminino,Testes positivos,16
2019,16,AM,Feminino,Testes negativos,1
2019,16,AM,Feminino,Casos aguardando resultado,0
2019,16,AM,Feminino,Casos sem informação laboratorial,0
2019,16,AM,Feminino,Casos sem teste laboratorial,15
2020,2,AM,Feminino,Testes positivos,1
2020,2,AM,Feminino,Testes negativos,7
2020,2,AM,Feminino,Casos aguardando resultado,0
2020,2,AM,Feminino,Casos sem informação laboratorial,0
2020,2,AM,Feminino,Casos sem teste laboratorial,2
2020,5,AM,Feminino,Testes positivos,2
2020,5,AM,Feminino,Testes negativos,9
2020,5,AM,Feminino,Casos aguardando resultado,0
2020,5,AM,Feminino,Casos sem informação laboratorial,0
2020,5,AM,Feminino,Casos sem teste laboratorial,0
2020,6,AM,Feminino,Testes positivos,1
2020,6,AM,Feminino,Testes negativos,6
2020,6,AM,Feminino,Casos aguardando resultado,0
2020,6,AM,Feminino,Casos sem informação laboratorial,0
2020,6,AM,Feminino,Casos sem teste laboratorial,3
2020,7,AM,Feminino,Testes positivos,1
2020,7,AM,Feminino,Testes negativos,4
2020,7,AM,Feminino,Casos aguardando resultado,0
2020,7,AM,Feminino,Casos sem informação laboratorial,0
2020,7,AM,Feminino,Casos sem teste laboratorial,5
2020,8,AM,Feminino,Testes positivos,5
2020,8,AM,Feminino,Testes negativos,10
2020,8,AM,Feminino,Casos aguardando resultado,0
2020,8,AM,Feminino,Casos sem informação laboratorial,0
2020,8,AM,Feminino,Casos sem teste laboratorial,3
2020,9,AM,Feminino,Testes positivos,3
2020,9,AM,Feminino,Testes negativos,8
2020,9,AM,Feminino,Casos aguardando resultado,0
2020,9,AM,Feminino,Casos sem informação laboratorial,1
2020,9,AM,Feminino,Casos sem teste laboratorial,7
2020,10,AM,Feminino,Testes positivos,5
2020,10,AM,Feminino,Testes negativos,6
2020,10,AM,Feminino,Casos aguardando resultado,1
2020,10,AM,Feminino,Casos sem informação laboratorial,0
2020,10,AM,Feminino,Casos sem teste laboratorial,1
2020,11,AM,Feminino,Testes positivos,4
2020,11,AM,Feminino,Testes negativos,12
2020,11,AM,Feminino,Casos aguardando resultado,1
2020,11,AM,Feminino,Casos sem informação laboratorial,0
2020,11,AM,Feminino,Casos sem teste laboratorial,8
2020,12,AM,Feminino,Testes positivos,6
2020,12,AM,Feminino,Testes negativos,15
