"uf","ano","pop"
"RO",2010,1598634
"RO",2011,1618210
"RO",2012,1637884
"RO",2013,1657620
"RO",2014,1677766
"RO",2015,1698263
"RO",2016,1717911
"RO",2017,1737578
"RO",2018,1757589
"RO",2019,1777225
"RO",2020,1796460
"AC",2010,765325
"AC",2011,778499
"AC",2012,792045
"AC",2013,805014
"AC",2014,818273
"AC",2015,831665
"AC",2016,844137
"AC",2017,856457
"AC",2018,869265
"AC",2019,881935
"AC",2020,894470
"AM",2010,3553148
"AM",2011,3618040
"AM",2012,3684326
"AM",2013,3751293
"AM",2014,3819636
"AM",2015,3887740
"AM",2016,3952171
"AM",2017,4015812
"AM",2018,4080611
"AM",2019,4144597
"AM",2020,4207714
"RR",2010,458820
"RR",2011,469543
"RR",2012,480290
"RR",2013,491066
"RR",2014,501970
"RR",2015,513328
"RR",2016,525967
"RR",2017,546885
"RR",2018,576568
"RR",2019,605761
"RR",2020,631181
"PA",2010,7762953
"PA",2011,7862943
"PA",2012,7960134
"PA",2013,8054419
"PA",2014,8149418
"PA",2015,8244575
"PA",2016,8334346
"PA",2017,8422634
"PA",2018,8513497
"PA",2019,8602865
"PA",2020,8690745
"AP",2010,694261
"AP",2011,711453
"AP",2012,728015
"AP",2013,744809
"AP",2014,762156
"AP",2015,779416
"AP",2016,796419
"AP",2017,813084
"AP",2018,829494
"AP",2019,845731
"AP",2020,861773
"TO",2010,1412989
"TO",2011,1431478
"TO",2012,1449779
"TO",2013,1467474
"TO",2014,1485318
"TO",2015,1503482
"TO",2016,1520448
"TO",2017,1537350
"TO",2018,1555229
"TO",2019,1572866
"TO",2020,1590248
"MA",2010,6710964
"MA",2011,6757213
"MA",2012,6798830
"MA",2013,6836179
"MA",2014,6875302
"MA",2015,6916244
"MA",2016,6955099
"MA",2017,6994148
"MA",2018,7035055
"MA",2019,7075181
"MA",2020,7114598
"PI",2010,3192643
"PI",2011,3202880
"PI",2012,3212635
"PI",2013,3220646
"PI",2014,3228556
"PI",2015,3237691
"PI",2016,3246228
"PI",2017,3254626
"PI",2018,3263754
"PI",2019,3272447
"PI",2020,3280697
"CE",2010,8623766
"CE",2011,8681591
"CE",2012,8738045
"CE",2013,8792607
"CE",2014,8847031
"CE",2015,8905267
"CE",2016,8962834
"CE",2017,9018764
"CE",2018,9076426
"CE",2019,9132858
"CE",2020,9187886
"RN",2010,3239939
"RN",2011,3271415
"RN",2012,3302720
"RN",2013,3332952
"RN",2014,3363084
"RN",2015,3393814
"RN",2016,3422843
"RN",2017,3450669
"RN",2018,3479010
"RN",2019,3506853
"RN",2020,3534165
"PB",2010,3840796
"PB",2011,3859813
"PB",2012,3875373
"PB",2013,3890494
"PB",2014,3910059
"PB",2015,3932537
"PB",2016,3953693
"PB",2017,3974437
"PB",2018,3996496
"PB",2019,4018127
"PB",2020,4039277
