ano,sem_epidem,uf,sexo,virus,quantidade
2010,14,RO,Feminino,"Influenza A, B",2
2010,14,RO,Feminino,SARS_CoV_2,0
2010,14,RO,Feminino,VSR,0
2010,14,RO,Feminino,"Parainfluenza 1, 2, 3",0
2010,14,RO,Feminino,Adenovirus,0
2016,13,RO,Feminino,"Influenza A, B",3
2016,13,RO,Feminino,SARS_CoV_2,0
2016,13,RO,Feminino,VSR,0
2016,13,RO,Feminino,"Parainfluenza 1, 2, 3",0
2016,13,RO,Feminino,Adenovirus,0
2016,14,RO,Feminino,"Influenza A, B",5
2016,14,RO,Feminino,SARS_CoV_2,0
2016,14,RO,Feminino,VSR,0
2016,14,RO,Feminino,"Parainfluenza 1, 2, 3",0
2016,14,RO,Feminino,Adenovirus,0
2020,14,RO,Feminino,"Influenza A, B",0
2020,14,RO,Feminino,SARS_CoV_2,0
2020,14,RO,Feminino,VSR,0
2020,14,RO,Feminino,"Parainfluenza 1, 2, 3",0
2020,14,RO,Feminino,Adenovirus,0
2019,13,AC,Feminino,"Influenza A, B",4
2019,13,AC,Feminino,SARS_CoV_2,0
2019,13,AC,Feminino,VSR,3
2019,13,AC,Feminino,"Parainfluenza 1, 2, 3",0
2019,13,AC,Feminino,Adenovirus,0
2019,15,AC,Feminino,"Influenza A, B",2
2019,15,AC,Feminino,SARS_CoV_2,0
2019,15,AC,Feminino,VSR,2
2019,15,AC,Feminino,"Parainfluenza 1, 2, 3",0
2019,15,AC,Feminino,Adenovirus,0
2017,16,AM,Feminino,"Influenza A, B",3
2017,16,AM,Feminino,SARS_CoV_2,0
2017,16,AM,Feminino,VSR,8
2017,16,AM,Feminino,"Parainfluenza 1, 2, 3",0
2017,16,AM,Feminino,Adenovirus,0
2019,6,AM,Feminino,"Influenza A, B",2
2019,6,AM,Feminino,SARS_CoV_2,0
2019,6,AM,Feminino,VSR,5
2019,6,AM,Feminino,"Parainfluenza 1, 2, 3",0
2019,6,AM,Feminino,Adenovirus,0
2019,7,AM,Feminino,"Influenza A, B",17
2019,7,AM,Feminino,SARS_CoV_2,0
2019,7,AM,Feminino,VSR,9
2019,7,AM,Feminino,"Parainfluenza 1, 2, 3",0
2019,7,AM,Feminino,Adenovirus,0
2019,8,AM,Feminino,"Influenza A, B",25
2019,8,AM,Feminino,SARS_CoV_2,0
2019,8,AM,Feminino,VSR,13
2019,8,AM,Feminino,"Parainfluenza 1, 2, 3",0
2019,8,AM,Feminino,Adenovirus,0
2019,9,AM,Feminino,"Influenza A, B",14
2019,9,AM,Feminino,SARS_CoV_2,0
2019,9,AM,Feminino,VSR,21
2019,9,AM,Feminino,"Parainfluenza 1, 2, 3",0
2019,9,AM,Feminino,Adenovirus,0
2019,10,AM,Feminino,"Influenza A, B",5
2019,10,AM,Feminino,SARS_CoV_2,0
2019,10,AM,Feminino,VSR,30
2019,10,AM,Feminino,"Parainfluenza 1, 2, 3",3
2019,10,AM,Feminino,Adenovirus,0
2019,11,AM,Feminino,"Influenza A, B",6
2019,11,AM,Feminino,SARS_CoV_2,0
2019,11,AM,Feminino,VSR,24
2019,11,AM,Feminino,"Parainfluenza 1, 2, 3",1
2019,11,AM,Feminino,Adenovirus,0
2019,12,AM,Feminino,"Influenza A, B",4
2019,12,AM,Feminino,SARS_CoV_2,0
2019,12,AM,Feminino,VSR,25
2019,12,AM,Feminino,"Parainfluenza 1, 2, 3",2
2019,12,AM,Feminino,Adenovirus,0
2019,13,AM,Feminino,"Influenza A, B",2
2019,13,AM,Feminino,SARS_CoV_2,0
2019,13,AM,Feminino,VSR,18
2019,13,AM,Feminino,"Parainfluenza 1, 2, 3",0
2019,13,AM,Feminino,Adenovirus,0
2019,14,AM,Feminino,"Influenza A, B",0
2019,14,AM,Feminino,SARS_CoV_2,0
2019,14,AM,Feminino,VSR,16
2019,14,AM,Feminino,"Parainfluenza 1, 2, 3",0
2019,14,AM,Feminino,Adenovirus,0
2019,15,AM,Feminino,"Influenza A, B",0
2019,15,AM,Feminino,SARS_CoV_2,0
2019,15,AM,Feminino,VSR,10
2019,15,AM,Feminino,"Parainfluenza 1, 2, 3",0
2019,15,AM,Feminino,Adenovirus,0
2019,16,AM,Feminino,"Influenza A, B",0
2019,16,AM,Feminino,SARS_CoV_2,0
2019,16,AM,Feminino,VSR,15
2019,16,AM,Feminino,"Parainfluenza 1, 2, 3",0
2019,16,AM,Feminino,Adenovirus,0
2020,2,AM,Feminino,"Influenza A, B",1
2020,2,AM,Feminino,SARS_CoV_2,0
2020,2,AM,Feminino,VSR,0
2020,2,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,2,AM,Feminino,Adenovirus,0
2020,5,AM,Feminino,"Influenza A, B",2
2020,5,AM,Feminino,SARS_CoV_2,0
2020,5,AM,Feminino,VSR,0
2020,5,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,5,AM,Feminino,Adenovirus,0
2020,6,AM,Feminino,"Influenza A, B",0
2020,6,AM,Feminino,SARS_CoV_2,0
2020,6,AM,Feminino,VSR,1
2020,6,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,6,AM,Feminino,Adenovirus,0
2020,7,AM,Feminino,"Influenza A, B",0
2020,7,AM,Feminino,SARS_CoV_2,0
2020,7,AM,Feminino,VSR,0
2020,7,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,7,AM,Feminino,Adenovirus,1
2020,8,AM,Feminino,"Influenza A, B",1
2020,8,AM,Feminino,SARS_CoV_2,0
2020,8,AM,Feminino,VSR,1
2020,8,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,8,AM,Feminino,Adenovirus,3
2020,9,AM,Feminino,"Influenza A, B",0
2020,9,AM,Feminino,SARS_CoV_2,0
2020,9,AM,Feminino,VSR,3
2020,9,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,9,AM,Feminino,Adenovirus,0
2020,10,AM,Feminino,"Influenza A, B",0
2020,10,AM,Feminino,SARS_CoV_2,2
2020,10,AM,Feminino,VSR,0
2020,10,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,10,AM,Feminino,Adenovirus,0
2020,11,AM,Feminino,"Influenza A, B",2
2020,11,AM,Feminino,SARS_CoV_2,0
2020,11,AM,Feminino,VSR,0
2020,11,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,11,AM,Feminino,Adenovirus,0
2020,12,AM,Feminino,"Influenza A, B",0
2020,12,AM,Feminino,SARS_CoV_2,5
2020,12,AM,Feminino,VSR,1
2020,12,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,12,AM,Feminino,Adenovirus,0
2020,13,AM,Feminino,"Influenza A, B",0
2020,13,AM,Feminino,SARS_CoV_2,30
2020,13,AM,Feminino,VSR,0
2020,13,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,13,AM,Feminino,Adenovirus,0
2020,14,AM,Feminino,"Influenza A, B",0
2020,14,AM,Feminino,SARS_CoV_2,40
2020,14,AM,Feminino,VSR,0
2020,14,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,14,AM,Feminino,Adenovirus,0
2020,15,AM,Feminino,"Influenza A, B",0
2020,15,AM,Feminino,SARS_CoV_2,14
2020,15,AM,Feminino,VSR,0
2020,15,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,15,AM,Feminino,Adenovirus,0
2020,16,AM,Feminino,"Influenza A, B",0
2020,16,AM,Feminino,SARS_CoV_2,0
2020,16,AM,Feminino,VSR,0
2020,16,AM,Feminino,"Parainfluenza 1, 2, 3",0
2020,16,AM,Feminino,Adenovirus,0
2010,6,PA,Feminino,"Influenza A, B",5
2010,6,PA,Feminino,SARS_CoV_2,0
2010,6,PA,Feminino,VSR,0
2010,6,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,6,PA,Feminino,Adenovirus,0
2010,7,PA,Feminino,"Influenza A, B",15
2010,7,PA,Feminino,SARS_CoV_2,0
2010,7,PA,Feminino,VSR,0
2010,7,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,7,PA,Feminino,Adenovirus,0
2010,8,PA,Feminino,"Influenza A, B",20
2010,8,PA,Feminino,SARS_CoV_2,0
2010,8,PA,Feminino,VSR,0
2010,8,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,8,PA,Feminino,Adenovirus,0
2010,9,PA,Feminino,"Influenza A, B",41
2010,9,PA,Feminino,SARS_CoV_2,0
2010,9,PA,Feminino,VSR,0
2010,9,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,9,PA,Feminino,Adenovirus,0
2010,10,PA,Feminino,"Influenza A, B",25
2010,10,PA,Feminino,SARS_CoV_2,0
2010,10,PA,Feminino,VSR,0
2010,10,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,10,PA,Feminino,Adenovirus,0
2010,11,PA,Feminino,"Influenza A, B",19
2010,11,PA,Feminino,SARS_CoV_2,0
2010,11,PA,Feminino,VSR,0
2010,11,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,11,PA,Feminino,Adenovirus,0
2010,12,PA,Feminino,"Influenza A, B",8
2010,12,PA,Feminino,SARS_CoV_2,0
2010,12,PA,Feminino,VSR,0
2010,12,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,12,PA,Feminino,Adenovirus,0
2010,13,PA,Feminino,"Influenza A, B",5
2010,13,PA,Feminino,SARS_CoV_2,0
2010,13,PA,Feminino,VSR,0
2010,13,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,13,PA,Feminino,Adenovirus,0
2010,14,PA,Feminino,"Influenza A, B",7
2010,14,PA,Feminino,SARS_CoV_2,0
2010,14,PA,Feminino,VSR,0
2010,14,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,14,PA,Feminino,Adenovirus,0
2010,15,PA,Feminino,"Influenza A, B",7
2010,15,PA,Feminino,SARS_CoV_2,0
2010,15,PA,Feminino,VSR,0
2010,15,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,15,PA,Feminino,Adenovirus,0
2010,16,PA,Feminino,"Influenza A, B",2
2010,16,PA,Feminino,SARS_CoV_2,0
2010,16,PA,Feminino,VSR,0
2010,16,PA,Feminino,"Parainfluenza 1, 2, 3",0
2010,16,PA,Feminino,Adenovirus,0
2012,11,PA,Feminino,"Influenza A, B",1
2012,11,PA,Feminino,SARS_CoV_2,0
2012,11,PA,Feminino,VSR,0
2012,11,PA,Feminino,"Parainfluenza 1, 2, 3",0
2012,11,PA,Feminino,Adenovirus,0
2012,15,PA,Feminino,"Influenza A, B",3
2012,15,PA,Feminino,SARS_CoV_2,0
2012,15,PA,Feminino,VSR,0
2012,15,PA,Feminino,"Parainfluenza 1, 2, 3",0
2012,15,PA,Feminino,Adenovirus,0
2013,15,PA,Feminino,"Influenza A, B",6
2013,15,PA,Feminino,SARS_CoV_2,0
2013,15,PA,Feminino,VSR,0
2013,15,PA,Feminino,"Parainfluenza 1, 2, 3",0
2013,15,PA,Feminino,Adenovirus,0
2013,16,PA,Feminino,"Influenza A, B",7
2013,16,PA,Feminino,SARS_CoV_2,0
2013,16,PA,Feminino,VSR,0
2013,16,PA,Feminino,"Parainfluenza 1, 2, 3",0
2013,16,PA,Feminino,Adenovirus,0
2016,12,PA,Feminino,"Influenza A, B",3
2016,12,PA,Feminino,SARS_CoV_2,0
2016,12,PA,Feminino,VSR,0
2016,12,PA,Feminino,"Parainfluenza 1, 2, 3",0
2016,12,PA,Feminino,Adenovirus,0
2016,13,PA,Feminino,"Influenza A, B",19
2016,13,PA,Feminino,SARS_CoV_2,0
2016,13,PA,Feminino,VSR,0
2016,13,PA,Feminino,"Parainfluenza 1, 2, 3",0
2016,13,PA,Feminino,Adenovirus,0
2016,14,PA,Feminino,"Influenza A, B",21
2016,14,PA,Feminino,SARS_CoV_2,0
2016,14,PA,Feminino,VSR,0
2016,14,PA,Feminino,"Parainfluenza 1, 2, 3",0
2016,14,PA,Feminino,Adenovirus,0
2016,15,PA,Feminino,"Influenza A, B",16
2016,15,PA,Feminino,SARS_CoV_2,0
2016,15,PA,Feminino,VSR,0
2016,15,PA,Feminino,"Parainfluenza 1, 2, 3",0
2016,15,PA,Feminino,Adenovirus,0
2016,16,PA,Feminino,"Influenza A, B",13
2016,16,PA,Feminino,SARS_CoV_2,0
